Pré-vestibular C - N,Tijuca 2,Pré-vestibular
Tijuca 2 - Dependência - 1ª série,Tijuca 2,Dependência 1ª série
Tijuca 2 - Dependência - 2ª série,Tijuca 2,Dependência 2ª série
Tijuca 2 - Dependência - 9º ano,Tijuca 2,Dependência 9° ano
3ª série AFA/EFOMM A - T,Vila da Penha 1,3ª Série AFA/EFOMM
3ª série Pré-vestibular A - M,Vila da Penha 1,3ª Série Pré-vestibular
3ª série Pré-vestibular B - M,Vila da Penha 1,3ª Série Pré-vestibular
3ª série Pré-vestibular C - T,Vila da Penha 1,3ª Série Pré-vestibular
AFA/EFOMM A - T,Vila da Penha 1,AFA/EFOMM
Pré-vestibular A - M,Vila da Penha 1,Pré-vestibular
Pré-vestibular B - T,Vila da Penha 1,Pré-vestibular
Pré-vestibular C - N,Vila da Penha 1,Pré-vestibular
Vila da Penha 1 - Dependência - 2ª série,Vila da Penha 1,Dependência 2ª série
1ª série Regular A - M,Vila da Penha 2,1ª série Regular
1ª série Regular B - M,Vila da Penha 2,1ª série Regular
1ª série Regular C - T,Vila da Penha 2,1ª série Regular
1º ano A - T,Vila da Penha 2,EF 1º ano
2ª série Regular A - M,Vila da Penha 2,2ª série Regular
2ª série Regular C - T,Vila da Penha 2,2ª série Regular
2º ano A - T,Vila da Penha 2,EF 2º ano
5º ano A - T,Vila da Penha 2,EF 5º ano
6º ano A - M,Vila da Penha 2,EF 6º ano
6º ano B - T,Vila da Penha 2,EF 6º ano
7º ano A - M,Vila da Penha 2,EF 7º ano
7º ano B - T,Vila da Penha 2,EF 7º ano
8º ano A - M,Vila da Penha 2,EF 8º ano
8º ano B - M,Vila da Penha 2,EF 8º ano
8º ano C - T,Vila da Penha 2,EF 8º ano
9º ano A - M,Vila da Penha 2,EF 9º ano
9º ano B - M,Vila da Penha 2,EF 9º ano
9º ano Preparatório A - T,Vila da Penha 2,9º Ano Preparatório
Vila da Penha 2 - Dependência - 1ª série,Vila da Penha 2,Dependência 1ª série
Vila da Penha 2 - Dependência - 2ª série,Vila da Penha 2,Dependência 2ª série
Vila da Penha 2 - Dependência - 6º ano,Vila da Penha 2,Dependência 6º ano
Vila da Penha 2 - Dependência - 7º ano,Vila da Penha 2,Dependência 7º ano
Vila da Penha 2 - Dependência - 8º ano,Vila da Penha 2,Dependência 8º ano
Vila da Penha 2 - Dependência - 9º ano,Vila da Penha 2,Dependência 9° ano
2ª série Regular B - M,Vila da Penha 2,2ª série Regular
