21002,2014-03-16 00:00,Todas,1ª série Regular,Teste Qui1 Hist1 Bio1 Português 1º Bimestre,1° Bimestre,,
21005,2014-03-16 00:00,Todas,1ª série Regular,Teste Filosofia 1º Bimestre,1° Bimestre,,
21005,2014-03-16 00:00,Todas,1ª série PISM,Teste Filosofia 1º Bimestre,1° Bimestre,,
21006,2014-03-16 00:00,Todas,1ª série Regular,Teste Sociologia 1º Bimestre,1° Bimestre,,
21006,2014-03-16 00:00,Todas,1ª série PISM,Teste Sociologia 1º Bimestre,1° Bimestre,,
21007,2014-03-16 00:00,Todas,1ª série Regular,Teste Artes 1º Bimestre,1° Bimestre,,
21007,2014-03-16 00:00,Todas,1ª série PISM,Teste Artes 1º Bimestre,1° Bimestre,,
21012,2014-03-16 00:00,Todas,1ª série Regular,2CH - Teste Filosofia 1º Bimestre,1° Bimestre,,
21012,2014-03-16 00:00,Todas,1ª série PISM,2CH - Teste Filosofia 1º Bimestre,1° Bimestre,,
21013,2014-03-16 00:00,Todas,1ª série Regular,2CH - Teste Sociologia 1º Bimestre,1° Bimestre,,
21013,2014-03-16 00:00,Todas,1ª série PISM,2CH - Teste Sociologia 1º Bimestre,1° Bimestre,,
21014,2014-03-16 00:00,Todas,1ª série Regular,2CH - Teste Artes 1º Bimestre,1° Bimestre,,
21014,2014-03-16 00:00,Todas,1ª série PISM,2CH - Teste Artes 1º Bimestre,1° Bimestre,,
21257,2014-03-16 00:00,Todas,1ª série PISM,Teste Mat1 Fis1 Geo1 Redação 1º Bimestre,1° Bimestre,,
21257,2014-03-16 00:00,Todas,1ª série Regular,Teste Mat1 Fis1 Geo1 Redação 1º Bimestre,1° Bimestre,,
21258,2014-03-16 00:00,Todas,1ª série Regular,Teste Qui1 Hist1 Bio1 Português 1º Bimestre,1° Bimestre,,
21258,2014-03-16 00:00,Todas,1ª série PISM,Teste Qui1 Hist1 Bio1 Português 1º Bimestre,1° Bimestre,,
21273,2014-03-16 00:00,Todas,1ª série Regular,Teste Mat1 Fis1 Geo1 Redação 1º Bimestre,1° Bimestre,,
21273,2014-03-16 00:00,Todas,1ª série PISM,Teste Mat1 Fis1 Geo1 Redação 1º Bimestre,1° Bimestre,,
21274,2014-03-16 00:00,Todas,1ª série Regular,Teste Qui1 Hist1 Bio1 Português 1º Bimestre,1° Bimestre,,
21274,2014-03-16 00:00,Todas,1ª série PISM,Teste Qui1 Hist1 Bio1 Português 1º Bimestre,1° Bimestre,,
21398,2014-03-16 00:00,Todas,1ª série Regular,Nota do Professor,1° Bimestre,,
21398,2014-03-16 00:00,Todas,1ª série PISM,Nota do Professor,1° Bimestre,,
22001,2014-03-16 00:00,Todas,2ª série Regular,Teste Mat1 Fis1 Geo1 Redação 1º Bimestre,1° Bimestre,,
22001,2014-03-16 00:00,Todas,2ª série PISM,Teste Mat1 Fis1 Geo1 Redação 1º Bimestre,1° Bimestre,,
22002,2014-03-16 00:00,Todas,2ª série Regular,Teste Qui1 Hist1 Bio1 Português 1º Bimestre,1° Bimestre,,
